STATION,FIELD,ETRS-X,ETRS-Y,ETRS-Z
CS001,HBA,3826938.206,460938.202,5064630.436
CS001,HBA0,3826896.631,460979.131,5064657.943
CS001,HBA1,3826979.780,460897.273,5064602.929
CS001,LBA,3826923.942,460915.117,5064643.229
CS002,HBA,3826583.674,460955.432,5064893.937
CS002,HBA0,3826601.357,460953.078,5064880.876
CS002,HBA1,3826565.990,460957.786,5064906.998
CS002,LBA,3826577.462,461022.624,5064892.526
CS003,HBA,3826494.976,461017.374,5064954.916
CS003,HBA0,3826471.744,460999.814,5064973.941
CS003,HBA1,3826518.208,461034.934,5064935.890
CS003,LBA,3826517.144,460929.742,5064946.197
CS004,HBA,3826582.952,460891.338,5064900.272
CS004,HBA0,3826586.022,460865.520,5064900.301
CS004,HBA1,3826579.882,460917.156,5064900.242
CS004,LBA,3826654.593,460939.252,5064842.166
CS005,HBA,3826666.573,461005.209,5064827.212
CS005,HBA0,3826701.556,460988.926,5064802.425
CS005,HBA1,3826631.590,461021.491,5064851.999
CS005,LBA,3826669.146,461069.226,5064819.494
CS006,HBA,3826633.537,461108.045,5064842.715
CS006,HBA0,3826654.179,461136.116,5064824.683
CS006,HBA1,3826612.895,461079.974,5064860.746
CS006,LBA,3826597.126,461144.854,5064866.718
CS007,HBA,3826508.764,461126.402,5064934.712
CS007,HBA0,3826479.111,461083.396,5064960.857
CS007,HBA1,3826538.417,461169.407,5064908.567
CS007,LBA,3826533.757,461098.642,5064918.461
CS011,HBA,3826643.587,461290.469,5064818.809
CS011,HBA0,3826637.817,461227.021,5064828.874
CS011,HBA1,3826649.357,461353.917,5064808.743
CS011,LBA,3826667.465,461285.525,5064801.332
CS013,HBA,3826360.925,460814.872,5065074.083
CS013,HBA0,3826319.350,460855.801,5065101.590
CS013,HBA1,3826402.499,460773.943,5065046.576
CS013,LBA,3826346.661,460791.787,5065086.876
CS017,HBA,3826452.835,461529.655,5064940.251
CS017,HBA0,3826405.491,461507.136,5064977.823
CS017,HBA1,3826500.179,461552.174,5064902.678
CS017,LBA,3826462.450,461501.626,5064935.567
CS021,HBA,3826416.554,460510.252,5065059.927
CS021,HBA0,3826463.898,460532.770,5065022.354
CS021,HBA1,3826369.209,460487.733,5065097.499
CS021,LBA,3826406.939,460538.280,5065064.610
CS024,HBA,3827171.245,461381.055,5064416.102
CS024,HBA0,3827218.589,461403.574,5064378.530
CS024,HBA1,3827123.900,461358.537,5064453.675
CS024,LBA,3827161.630,461409.084,5064420.786
CS026,HBA,3826377.049,461846.443,5064968.446
CS026,HBA0,3826418.623,461805.513,5064940.939
CS026,HBA1,3826335.474,461887.372,5064995.953
CS026,LBA,3826391.312,461869.528,5064955.653
CS028,HBA,3825615.105,461283.354,5065591.272
CS028,HBA0,3825573.530,461324.283,5065618.779
CS028,HBA1,3825656.679,461242.425,5065563.765
CS028,LBA,3825600.841,461260.269,5065604.065
CS030,HBA,3826000.399,460363.979,5065384.861
CS030,HBA0,3826041.973,460323.050,5065357.354
CS030,HBA1,3825958.824,460404.909,5065412.368
CS030,LBA,3826014.662,460387.065,5065372.068
CS031,HBA,3826430.777,460301.538,5065068.018
CS031,HBA0,3826383.433,460279.019,5065105.590
CS031,HBA1,3826478.121,460324.057,5065030.445
CS031,LBA,3826440.392,460273.509,5065063.334
CS032,HBA,3826906.233,460410.671,5064702.239
CS032,HBA0,3826864.658,460451.600,5064729.746
CS032,HBA1,3826947.807,460369.742,5064674.732
CS032,LBA,3826891.969,460387.586,5064715.032
CS101,HBA,3825852.977,461676.097,5065376.530
CS101,HBA0,3825900.321,461698.615,5065338.957
CS101,HBA1,3825805.632,461653.578,5065414.102
CS101,LBA,3825843.362,461704.125,5065381.213
CS103,HBA,3826290.412,462799.679,5064946.867
CS103,HBA0,3826331.986,462758.750,5064919.360
CS103,HBA1,3826248.837,462840.609,5064974.374
CS103,LBA,3826304.675,462822.765,5064934.074
RS106,HBA,3829205.994,469142.209,5062180.742
RS106,LBA,3829261.821,469161.961,5062137.050
CS201,HBA,3826685.447,461918.367,5064731.055
CS201,HBA0,3826679.677,461854.919,5064741.120
CS201,HBA1,3826691.217,461981.815,5064720.989
CS201,LBA,3826709.325,461913.423,5064713.578
RS205,HBA,3831480.066,463487.205,5060989.643
RS205,LBA,3831438.959,463435.116,5061025.206
RS208,HBA,3847753.705,466962.484,5048396.983
RS208,LBA,3847810.446,466929.381,5048356.961
RS210,HBA,3877827.956,467536.277,5025445.321
RS210,LBA,3877847.841,467456.599,5025437.344
CS301,HBA,3827437.139,460987.076,5064252.208
CS301,HBA0,3827442.908,461050.523,5064242.143
CS301,HBA1,3827431.369,460923.628,5064262.273
CS301,LBA,3827413.261,460992.019,5064269.684
CS302,HBA,3827932.048,459769.230,5064002.547
CS302,HBA0,3827973.622,459728.300,5063975.040
CS302,HBA1,3827890.473,459810.159,5064030.053
CS302,LBA,3827946.312,459792.315,5063989.756
RS305,HBA,3828733.107,454692.080,5063850.055
RS305,LBA,3828721.154,454781.087,5063850.822
RS306,HBA,3829771.644,452761.378,5063242.921
RS306,LBA,3829792.203,452829.524,5063221.330
RS307,HBA,3837964.914,449626.936,5057357.324
RS307,LBA,3837941.343,449560.431,5057381.027
RS310,HBA,3845376.681,413616.239,5054796.080
RS310,LBA,3845433.443,413580.563,5054755.909
CS401,HBA,3826790.378,460095.120,5064818.736
CS401,HBA0,3826796.148,460158.570,5064808.669
CS401,HBA1,3826784.607,460031.669,5064828.802
CS401,LBA,3826766.502,460100.064,5064836.210
RS406,HBA,3818425.334,452019.946,5071817.384
RS406,LBA,3818468.029,451974.278,5071790.337
RS407,HBA,3811649.851,453459.572,5076728.693
RS407,LBA,3811596.257,453444.359,5076770.170
RS409,HBA,3824813.014,426130.006,5069251.494
RS409,LBA,3824756.246,426178.523,5069289.608
CS501,HBA,3825616.560,460669.815,5065645.196
CS501,HBA0,3825569.216,460647.296,5065682.768
CS501,HBA1,3825663.904,460692.334,5065607.623
CS501,LBA,3825626.175,460641.786,5065640.512
RS503,HBA,3824138.962,459476.649,5066858.318
RS503,LBA,3824090.848,459437.959,5066897.930
RS508,HBA,3797136.881,463114.126,5086651.028
RS508,LBA,3797202.513,463087.188,5086604.779
RS509,HBA,3783537.922,450129.744,5097865.889
RS509,LBA,3783579.528,450178.562,5097830.578
DE601,HBA,4034101.901,487012.401,4900230.210
DE601,LBA,4034038.635,487026.223,4900280.057
DE602,HBA,4152568.416,828788.802,4754361.926
DE602,LBA,4152561.068,828868.725,4754356.878
DE603,HBA,3940296.126,816722.532,4932394.152
DE603,LBA,3940285.328,816802.001,4932392.757
DE604,HBA,3796380.254,877613.809,5032712.272
DE604,LBA,3796327.609,877591.315,5032757.252
DE605,HBA,4005718.447,451028.044,4926424.103
DE605,LBA,4005681.742,450968.282,4926457.670
FR606,HBA,4324017.054,165545.160,4670271.072
FR606,LBA,4323980.155,165608.408,4670302.803
SE607,HBA,3370272.092,712125.596,5349990.934
SE607,LBA,3370287.366,712053.586,5349991.228
UK608,HBA,4008462.280,-100376.948,4943716.600
UK608,LBA,4008438.796,-100310.064,4943735.554
DE609,HBA,3727218.128,655108.821,5117002.847
DE609,LBA,3727207.778,655184.900,5117000.625
PL610,HBA,3738462.921,1148243.954,5021710.380
PL610,LBA,3738426.437,1148186.814,5021750.319
PL611,HBA,3850981.405,1438994.507,4860498.710
PL611,LBA,3850974.511,1439060.669,4860478.711
PL612,HBA,3551482.347,1334203.229,5110157.146
PL612,LBA,3551479.173,1334128.149,5110178.896
