STATION,HBA0,HBA1
CS001,24,24
CS002,52,0
CS003,30,52
CS004,36,60
CS005,66,46
CS006,76,52
CS007,82,16
CS011,8,8
CS012,4,4
CS013,54,54
CS016,54,54
CS017,38,38
CS018,86,86
CS020,84,84
CS021,68,68
CS023,4,4
CS024,20,20
CS026,50,50
CS028,64,64
CS030,28,28
CS031,34,34
CS032,80,80
CS101,12,12
CS201,42,42
CS301,58,58
CS401,72,72
CS501,88,88
CS302,48,48
CS103,2,2
RS104,22,
RS106,36,
RS205,32,
RS208,18,
RS210,56,
RS305,22,
RS306,70,
RS307,10,
RS310,74,
RS404,68,
RS406,82,
RS407,6,
RS409,14,
RS410,44,
RS503,78,
RS508,26,
RS509,40,
DE601,16,
DE602,60,
DE603,120,
DE604,180,
DE605,46,
DE609,44,
FR606,80,
SE607,20,
UK608,50,
FI609,31,
PL610,38,
PL611,66,
PL612,4,
IE613,84,
LV614,54,
